Rk,Player,PTS,Draft Team,Round,Pick,Draft Year,Draft College,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,-9999
60,Quincy Douby,839,SAC,1,19,2006,Rutgers,2005-06,Rutgers,33,33,36.7,8.7,18.8,5.2,10.1,3.5,8.8,4.5,5.3,0.8,3.5,4.3,3.1,1.8,0.8,2.8,1.8,25.4,.462,.515,.401,.847,.595,.556,G,JR,quincy-douby-1
61,Troy Murphy,839,GSW,1,14,2001,Notre Dame,1999-00,Notre Dame,37,37,35.6,7.4,15.1,6.6,12.6,0.8,2.5,7.1,8.7,2.3,7.9,10.3,1.6,1.4,1.0,3.1,2.7,22.7,.492,.525,.326,.808,.590,.519,F,SO,troy-murphy-1
62,Gary Trent,837,MIL,1,11,1995,Ohio,1993-94,Ohio,33,32,36.8,9.4,16.2,9.1,15.2,0.3,1.0,6.4,8.8,,,11.4,2.0,0.8,1.6,3.8,2.4,25.4,.576,.596,.273,.722,.621,.585,F,SO,gary-trent-1
63,Rodney Monroe,836,ATL,2,30,1991,NC State,1990-91,NC State,31,31,37.6,9.2,20.7,5.8,13.0,3.4,7.7,5.2,5.9,,,4.4,2.8,1.1,0.2,2.4,1.9,27.0,.445,.450,.435,.885,.574,.526,G,SR,rodney-monroe-1
64,Harry Kelly,835,ATL,4,81,1983,Texas Southern,1982-83,Texas Southern,29,,,11.5,25.4,11.5,25.4,,,5.8,7.7,,,11.7,1.8,2.0,0.9,2.9,2.8,28.8,.452,.452,,.761,.496,.452,F,SR,harry-kelly-1
65,Doug McDermott,834,DEN,1,11,2014,Creighton,2012-13,Creighton,36,36,31.6,7.9,14.4,5.8,10.0,2.1,4.4,5.3,6.0,1.6,6.1,7.7,1.6,0.2,0.1,2.6,1.6,23.2,.548,.573,.490,.875,.672,.623,F,JR,doug-mcdermott-1
66,Steve Rogers,831,NJN,2,40,1992,Alabama State,1989-90,Alabama State,28,,35.2,10.2,19.6,8.6,14.9,1.6,4.7,7.6,10.4,,,6.6,3.8,3.1,0.1,3.3,2.5,29.7,.522,.577,.348,.732,.605,.564,G,SO,steve-rogers-2
67,Von McDade,830,NJN,2,53,1991,Milwaukee,1990-91,Milwaukee,28,,32.4,9.8,22.6,6.4,14.0,3.4,8.6,6.6,8.5,,,5.4,3.7,3.5,0.2,4.0,2.9,29.6,.433,.455,.397,.782,.556,.509,G,SR,von-mcdade-1
68,Walter Berry,828,POR,1,14,1986,St. John's (NY),1985-86,St. John's (NY),36,36,36.6,9.1,15.2,9.1,15.2,,,4.8,6.9,,,11.1,1.0,0.8,2.1,3.1,2.6,23.0,.598,.598,,.702,.623,.598,F,JR,walter-berry-1
69,Joe Jakubick,827,CLE,7,142,1984,Akron,1982-83,Akron,29,,38.1,10.2,20.2,8.4,15.8,1.8,4.4,6.3,7.9,,,5.0,3.7,1.7,0.3,3.7,2.8,28.5,.506,.531,.417,.798,.596,.551,G,JR,joe-jakubick-1
70,Antawn Jamison,822,TOR,1,4,1998,North Carolina,1997-98,North Carolina,37,32,33.1,8.5,14.8,8.4,14.4,0.2,0.4,5.0,7.5,,,10.5,0.8,0.8,0.8,1.6,2.5,22.2,.579,.584,.400,.667,.607,.584,F,JR,antawn-jamison-1
71,Larry Johnson,822,CHA,1,1,1991,UNLV,1989-90,UNLV,40,40,31.5,7.6,12.2,7.3,11.2,0.3,1.0,5.0,6.6,3.8,7.7,11.4,2.1,1.6,1.4,2.8,3.2,20.6,.624,.648,.342,.767,.672,.638,F,JR,larry-johnson-1
72,Derrick Chievous,821,HOU,1,16,1988,Missouri,1986-87,Missouri,34,34,35.7,8.3,15.4,7.9,14.4,0.4,1.0,7.2,8.9,,,8.6,1.9,1.1,0.1,2.7,2.2,24.1,.540,.550,.394,.808,.617,.553,F,JR,derrick-chievous-1
73,Joe Dumars III,819,DET,1,18,1985,McNeese State,1983-84,McNeese State,31,,,8.9,18.9,8.9,18.9,,,8.6,10.5,,,5.3,2.6,1.4,0.1,2.7,2.8,26.4,.471,.471,,.824,.553,.471,G,JR,joe-dumars-1
74,Eric Murdock,818,UTA,1,21,1991,Providence,1990-91,Providence,32,,34.7,8.2,18.4,6.4,13.4,1.8,5.0,7.4,9.2,,,5.3,4.6,3.5,0.2,3.7,3.1,25.6,.445,.480,.350,.812,.562,.492,G,SR,eric-murdock-1
75,Ray Allen,818,MIN,1,5,1996,Connecticut,1995-96,Connecticut,35,35,34.7,8.3,17.7,5.1,10.6,3.3,7.1,3.4,4.2,2.3,4.2,6.5,3.3,1.7,0.5,2.3,1.3,23.4,.472,.477,.466,.810,.595,.566,G,JR,ray-allen-1
76,Harvey Grant,816,WAS,1,12,1988,Oklahoma,1987-88,Oklahoma,39,37,34.3,9.0,16.4,8.9,16.1,0.1,0.4,2.9,4.0,,,9.4,1.4,1.6,0.8,1.5,2.6,20.9,.547,.554,.214,.729,.572,.549,F,SR,harvey-grant-1
77,Brett Roberts,815,SAC,2,54,1992,Morehead State,1991-92,Morehead State,29,,36.0,9.6,20.0,7.3,14.1,2.3,5.9,6.7,7.6,,,8.8,1.6,2.0,1.1,3.6,2.6,28.1,.479,.517,.388,.881,.596,.536,F,SR,brett-roberts-1
78,Isaiah Rider Jr,814,MIN,1,5,1993,UNLV,1992-93,UNLV,28,26,35.4,10.1,19.6,8.1,14.7,2.0,4.9,7.0,8.4,,,8.9,2.5,1.5,0.6,3.8,3.0,29.1,.515,.552,.401,.826,.617,.565,G,SR,isaiah-rider-1
79,Joe Jakubick,814,CLE,7,142,1984,Akron,1983-84,Akron,27,27,39.1,11.3,21.5,11.3,21.5,,,7.6,9.1,,,4.9,2.7,2.1,0.6,3.0,2.7,30.1,.524,.524,,.834,.584,.524,G,SR,joe-jakubick-1
80,Jermaine Taylor,812,WAS,2,32,2009,UCF,2008-09,UCF,31,31,31.9,9.4,19.5,6.4,11.6,3.0,7.9,4.5,5.5,1.9,3.3,5.2,1.9,1.3,0.8,2.8,1.8,26.2,.480,.551,.376,.812,.591,.556,G,SR,jermaine-taylor-1
81,Lewis Jackson,812,GSW,3,55,1984,Alabama State,1983-84,Alabama State,28,,,10.9,18.8,10.9,18.8,,,7.2,8.4,,,6.3,4.2,,,,,29.0,.580,.580,,.860,.637,.580,F,SR,lewis-jackson-2
82,Jeff Grayer,811,MIL,1,13,1988,Iowa State,1987-88,Iowa State,32,32,36.4,9.8,18.7,9.1,16.8,0.6,1.9,5.2,7.3,,,9.4,2.3,1.8,0.6,2.2,2.7,25.3,.523,.545,.328,.711,.572,.539,G,SR,jeff-grayer-1
83,Wayman Tisdale,810,IND,1,2,1985,Oklahoma,1982-83,Oklahoma,33,32,34.5,10.2,17.7,10.2,17.7,,,4.1,6.4,,,10.3,0.8,1.1,2.4,2.2,2.8,24.5,.580,.580,,.635,.593,.580,F,FR,wayman-tisdale-1
84,Johnny Dawkins Jr,809,SAS,1,10,1986,Duke,1985-86,Duke,40,40,33.1,8.3,15.1,8.3,15.1,,,3.7,4.5,,,3.6,3.2,1.3,0.1,2.7,1.9,20.2,.549,.549,,.812,.587,.549,G,SR,johnny-dawkins-1
85,Alphonso Ford,808,PHI,2,32,1993,Mississippi Valley State,1989-90,Mississippi Valley State,27,,31.8,10.7,24.3,6.9,13.6,3.9,10.7,4.7,6.3,,,4.9,1.9,1.5,0.2,2.5,3.3,29.9,.441,.503,.361,.737,.548,.520,G,FR,alphonso-ford-1
86,Ja Morant,808,MEM,1,2,2019,Murray State,2018-19,Murray State,33,33,36.6,8.0,16.1,6.3,11.3,1.7,4.8,6.7,8.2,1.2,4.5,5.7,10.0,1.8,0.8,5.2,1.5,24.5,.499,.556,.363,.813,.612,.553,G,SO,temetrius-morant-1
87,Allan Houston,806,DET,1,11,1993,Tennessee,1990-91,Tennessee,34,34,35.6,7.8,16.2,4.9,9.4,2.9,6.8,5.2,6.0,,,3.1,3.9,1.1,0.5,3.8,2.0,23.7,.482,.520,.429,.863,.623,.572,G,SO,allan-houston-1
88,Jeff Martin,806,LAC,2,31,1989,Murray State,1987-88,Murray State,31,31,37.5,9.8,17.6,9.3,16.0,0.5,1.5,5.8,7.5,,,6.6,2.2,1.1,1.0,2.5,2.6,26.0,.558,.577,.354,.784,.616,.573,G,JR,jeff-martin-1
89,Ricky Pierce,805,DET,1,18,1982,Rice,1981-82,Rice,30,,36.8,10.5,20.5,10.5,20.5,,,5.9,7.4,,,7.5,0.9,1.1,0.4,2.2,2.8,26.8,.511,.511,,.794,.559,.511,G,SR,ricky-pierce-1
90,Phil Stinnie,803,NYK,3,69,1988,VCU,1987-88,VCU,34,34,34.9,8.6,17.8,7.7,15.1,0.9,2.7,5.5,6.7,,,6.8,1.8,1.2,0.6,,3.2,23.6,.483,.510,.337,.825,.564,.509,F,SR,phil-stinnie-1
91,Reggie Williams,802,LAC,1,4,1987,Georgetown,1986-87,Georgetown,34,34,35.4,8.4,17.3,6.1,11.4,2.3,5.9,4.6,5.7,,,8.6,2.7,2.1,0.6,2.2,2.7,23.6,.482,.532,.386,.804,.589,.548,F,SR,reggie-williams-1
92,Doug McDermott,801,DEN,1,11,2014,Creighton,2011-12,Creighton,35,35,31.9,8.8,14.6,7.2,11.4,1.5,3.2,3.8,4.8,2.4,5.8,8.2,1.1,0.2,0.1,2.3,1.7,22.9,.601,.633,.486,.796,.678,.654,F,SO,doug-mcdermott-1
