PLAYER,SALARY ($),SEASON
Metta World Peace,2191741,2001-2002
Hidayet Turkoglu,2146415,2001-2002
Greg Buckner,2118033,2001-2002
Kirk Haston,2087322,2001-2002
Cal Bowdler,2082238,2001-2002
Desmond Mason,2039031,2001-2002
Michael Bradley,1983114,2001-2002
James Posey,1978031,2001-2002
Quentin Richardson,1937153,2001-2002
Quincy Lewis,1889074,2001-2002
Jason Collins,1883990,2001-2002
Jamaal Magloire,1849890,2001-2002
Dion Glover,1813460,2001-2002
Zach Randolph,1799057,2001-2002
Michael Ruffin,1781172,2001-2002
Speedy Claxton,1775971,2001-2002
Sam Mitchell,1765028,2001-2002
Felton Spencer,1765028,2001-2002
Don Reid,1765028,2001-2002
Dan Majerle,1765028,2001-2002
Danny Ferry,1765028,2001-2002
Mark Bryant,1765028,2001-2002
John Crotty,1765028,2001-2002
Michael Jordan,1765028,2001-2002
Jeff Foster,1741023,2001-2002
Brendan Haywood,1727256,2001-2002
Morris Peterson,1705017,2001-2002
Don MacLean,1704752,2001-2002
Brian Shaw,1700454,2001-2002
Kenny Thomas,1671340,2001-2002
Tim James,1664865,2001-2002
Joseph Forte,1657996,2001-2002
Donnell Harvey,1636816,2001-2002
Jeryl Sasser,1591702,2001-2002
DeShawn Stevenson,1571369,2001-2002
Brandon Armstrong,1528161,2001-2002
Dalibor Bagaric,1508463,2001-2002
Devean George,1472474,2001-2002
Andrei Kirilenko,1466950,2001-2002
Iakovos Tsakalidis,1448029,2001-2002
Vonteego Cummings,1429672,2001-2002
Gerald Wallace,1408280,2001-2002
Mamadou N'diaye,1400020,2001-2002
Jim Jackson,1392907,2001-2002
Jumaine Jones,1388371,2001-2002
Scott Padgett,1379687,2001-2002
Darrick Martin,1373809,2001-2002
Carlos Rogers,1373809,2001-2002
Monty Williams,1373809,2001-2002
Samuel Dalembert,1361683,2001-2002
Mark Madsen,1341350,2001-2002
Jamaal Tinsley,1322288,2001-2002
Primoz Brezec,1322288,2001-2002
Tony Parker,1314028,2001-2002
Emanual Davis,1263495,2001-2002
Mark Strickland,1263495,2001-2002
Gary Trent,1263495,2001-2002
Larry Robinson,1263495,2001-2002
Antonio Harvey,1263495,2001-2002
Mitchell Butler,1263495,2001-2002
Bruce Bowen,1263495,2001-2002
Cherokee Parks,1263495,2001-2002
Milt Palacio,1217869,2001-2002
Victor Alexander,1153181,2001-2002
Earl Boykins,1147268,2001-2002
Reggie Slater,1140227,2001-2002
Erick Barkley,1126087,2001-2002
Erick Strickland,1125055,2001-2002
Ryan Bowen,1113467,2001-2002
Laron Profit,1113467,2001-2002
Rafer Alston,1103142,2001-2002
Harold Jamison,1059016,2001-2002
Jacque Vaughn,1042866,2001-2002
Kevin Ollie,1042866,2001-2002
Shawnelle Scott,1042866,2001-2002
Jeff McInnis,1042866,2001-2002
Mark Pope,1042866,2001-2002
Troy Hudson,1042866,2001-2002
Rick Brunson,1042866,2001-2002
Stephen Jackson,1042866,2001-2002
Adrian Griffin,998741,2001-2002
Damon Jones,998741,2001-2002
Bruno Sundov,998741,2001-2002
Jelani McCoy,998741,2001-2002
Sean Marks,998741,2001-2002
Vladimir Stepania,998741,2001-2002
Felipe Lopez,998741,2001-2002
Ruben Wolkowyski,962619,2001-2002
Mark Blount,954615,2001-2002
Derrick Dial,954615,2001-2002
Obinna Ekezie,954615,2001-2002
Raja Bell,954615,2001-2002
Charles Smith,954615,2001-2002
Leon Smith,913154,2001-2002
Rodney Buford,849839,2001-2002
Predrag Drobnjak,844668,2001-2002
Vernon Maxwell,834858,2001-2002
Hanno Mottola,822238,2001-2002
Steve Goodrich,822238,2001-2002
Lee Nailon,822238,2001-2002
Chris Porter,822238,2001-2002
AJ Guyton,822238,2001-2002
Soumaila Samake,822238,2001-2002
Eduardo Najera,822238,2001-2002
Khalid El-Amin,822238,2001-2002
Wang Zhizhi,822238,2001-2002
Zendon Hamilton,822238,2001-2002
Brian Cardinal,822238,2001-2002
Dan Langhi,822238,2001-2002
Stanislav Medvedenko,822238,2001-2002
Eddie House,822238,2001-2002
Jason Hart,822238,2001-2002
Michael Redd,822238,2001-2002
Lavor Postell,822238,2001-2002
Art Long,822238,2001-2002
Jerome James,822238,2001-2002
Olumide Oyedeji,822238,2001-2002
Daniel Santiago,822238,2001-2002
Jake Voskuhl,822238,2001-2002
Jabari Smith Sr,822238,2001-2002
Amal McCaskill,822238,2001-2002
Terence Morris,741311,2001-2002
Brian Scalabrine,587431,2001-2002
Trenton Hassell,587431,2001-2002
Jeff Trepagnier,587431,2001-2002
Kenny Satterfield,587431,2001-2002
Ratko Varda,587431,2001-2002
Dean Oliver,587431,2001-2002
Gilbert Arenas,587431,2001-2002
Oscar Torres,587431,2001-2002
Tierre Brown,587431,2001-2002
Jamison Brewer,587431,2001-2002
Norm Richardson,587431,2001-2002
Antonis Fotsis,587431,2001-2002
Willie Solomon,587431,2001-2002
Ernest Brown,587431,2001-2002
Malik Allen,587431,2001-2002
Loren Woods,587431,2001-2002
Maurice Evans,587431,2001-2002
Earl Watson,587431,2001-2002
Alvin Jones,587431,2001-2002
Damone Brown,587431,2001-2002
Alton Ford,587431,2001-2002
Ruben Boumtje-Boumtje,587431,2001-2002
Carlos Arroyo,587431,2001-2002
Jarron Collins,587431,2001-2002
Bobby Simmons,587431,2001-2002
Omar Cook,515794,2001-2002
Chris Andersen,508629,2001-2002
Sam Mack,308170,2001-2002
Isaiah Rider,199089,2001-2002
Charlie Bell,157602,2001-2002
Tang Hamilton,107456,2001-2002
Joe Crispin,85965,2001-2002
Mike Penberthy,50135,2001-2002
Dickey Simpkins,46226,2001-2002
Kevin Garnett,44008949,2002-2003
Shaquille O'Neal,41164834,2002-2003
Alonzo Mourning,36027612,2002-2003
Juwan Howard,36019229,2002-2003
Scottie Pippen,34451889,2002-2003
Karl Malone,33617947,2002-2003
Rasheed Wallace,28291467,2002-2003
Dikembe Mutombo,28126021,2002-2003
Allan Houston,25049736,2002-2003
Chris Webber,25049736,2002-2003
Shawn Kemp,23839975,2002-2003
Bryant Reeves,22703025,2002-2003
Gary Payton,22067548,2002-2003
Antonio McDyess,22004474,2002-2003
Shareef Abdur-Rahim,21611537,2002-2003
Antoine Walker,21611537,2002-2003
Vin Baker,21611537,2002-2003
Zydrunas Ilgauskas,21611537,2002-2003
Kobe Bryant,21611537,2002-2003
Ray Allen,21611537,2002-2003
Latrell Sprewell,21611537,2002-2003
Allen Iverson,21611537,2002-2003
Anfernee Hardaway,21611537,2002-2003
Stephon Marbury,21611537,2002-2003
Damon Stoudamire,21611537,2002-2003
Jalen Rose,21083255,2002-2003
Grant Hill,21083255,2002-2003
Tracy McGrady,21083255,2002-2003
Keith Van Horn,21083255,2002-2003
Tim Duncan,21083255,2002-2003
Reggie Miller,21037802,2002-2003
Antonio Davis,20956642,2002-2003
Michael Finley,20874780,2002-2003
Vlade Divac,19643492,2002-2003
Eddie Jones,19581362,2002-2003
Nick Van Exel,19317193,2002-2003
Brian Grant,19258913,2002-2003
Tom Gugliotta,19021645,2002-2003
Tim Thomas,18773658,2002-2003
David Robinson,18337062,2002-2003
Terrell Brandon,17769486,2002-2003
Paul Pierce,17582186,2002-2003
Dirk Nowitzki,17582186,2002-2003
Antawn Jamison,17582186,2002-2003
Vince Carter,17582186,2002-2003
Steve Smith,17289230,2002-2003
Glenn Robinson,17219374,2002-2003
Larry Johnson,16784024,2002-2003
Derrick Coleman,16381108,2002-2003
Theo Ratliff,16372377,2002-2003
Jason Kidd,16180274,2002-2003
Glen Rice,16066759,2002-2003
Kenny Anderson,16040563,2002-2003
Kerry Kittles,15659269,2002-2003
Matt Geiger,15313158,2002-2003
Mike Bibby,14844288,2002-2003
Clifford Robinson,14707852,2002-2003
Dale Davis,14067146,2002-2003
Toni Kukoc,14058414,2002-2003
Elden Campbell,14058414,2002-2003
John Stockton,13752796,2002-2003
Greg Ostertag,13621810,2002-2003
Jamal Mashburn,13534498,2002-2003
Raef LaFrentz,12696232,2002-2003
Maurice Taylor,12486666,2002-2003
Derek Anderson,12477061,2002-2003
Alan Henderson,12384065,2002-2003
PJ Brown,12302946,2002-2003
Wesley Person,12224708,2002-2003
Austin Croshere,12154852,2002-2003
Jermaine O'Neal,12050069,2002-2003
Luc Longley,12050069,2002-2003
Erick Dampier,11977594,2002-2003
Arvydas Sabonis,11962750,2002-2003
Marcus Camby,11788111,2002-2003
Ron Mercer,11788111,2002-2003
Kelvin Cato,11693806,2002-2003
Tyrone Hill,11526153,2002-2003
Bo Outlaw,11499957,2002-2003
Jerry Stackhouse,11133216,2002-2003
Bonzi Wells,11002237,2002-2003
Doug Christie,10914918,2002-2003
Rashard Lewis,10886567,2002-2003
Nick Anderson,10656288,2002-2003
Shandon Anderson,10652959,2002-2003
Michael Olowokandi,10585222,2002-2003
Lorenzen Wright,10565640,2002-2003
Chris Mills,10478321,2002-2003
Steve Nash,10041724,2002-2003
Hakeem Olajuwon,9944330,2002-2003
Eddie Robinson,9931702,2002-2003
Bob Sura,9849620,2002-2003
Tariq Abdul-Wahad,9823426,2002-2003
Predrag Stojakovic,9823426,2002-2003
Charlie Ward,9727374,2002-2003
Jason Williams,9605127,2002-2003
Michael Dickerson,9605127,2002-2003
Loy Vaught,9369302,2002-2003
Alvin Williams,9343169,2002-2003
Howard Eisley,9277680,2002-2003
Robert Horry,9255850,2002-2003
Jason Caffey,9168531,2002-2003
Jerome Williams,9168531,2002-2003
Vitaly Potapenko,9148884,2002-2003
Ben Wallace,9081211,2002-2003
Donyell Marshall,9057708,2002-2003
Christian Laettner,8841083,2002-2003
Al Harrington,8836717,2002-2003
Brent Barry,8801789,2002-2003
Danny Fortson,8800162,2002-2003
Eric Williams,8738919,2002-2003
Brevin Knight,8731934,2002-2003
Calvin Booth,8719535,2002-2003
Avery Johnson,8717614,2002-2003
Joe Smith,8717614,2002-2003
Clarence Weatherspoon,8717614,2002-2003
Todd MacCulloch,8717614,2002-2003
Ruben Patterson,8717614,2002-2003
Cuttino Mobley,8563844,2002-2003
Kurt Thomas,8563844,2002-2003
Jahidi White,8563844,2002-2003
Elton Brand,8549709,2002-2003
Sam Cassell,8469976,2002-2003
Scot Pollard,8429589,2002-2003
Brad Miller,8382657,2002-2003
Nazr Mohammed,8295337,2002-2003
Ricky Davis,7939074,2002-2003
Chauncey Billups,7939074,2002-2003
Devean George,7939074,2002-2003
Jerome James,7939074,2002-2003
Keon Clark,7939074,2002-2003
Danny Ferry,7939074,2002-2003
Larry Hughes,7939074,2002-2003
Mark Jackson,7911132,2002-2003
Corliss Williamson,7858740,2002-2003
Aaron McKie,7858740,2002-2003
Jim McIlvaine,7684102,2002-2003
Adonal Foyle,7684102,2002-2003
Steve Francis,7655428,2002-2003
Anthony Mason,7633140,2002-2003
Malik Rose,7631710,2002-2003
Rick Fox,7579722,2002-2003
Derek Strong,7355781,2002-2003
Michael Stewart,7264969,2002-2003
Eric Snow,7203845,2002-2003
Lamond Murray,7203845,2002-2003
Kenyon Martin,7102834,2002-2003
Brent Price,7069374,2002-2003
Darrell Armstrong,7003011,2002-2003
Tony Battie,6985547,2002-2003
Shawn Bradley,6985547,2002-2003
Travis Knight,6985547,2002-2003
Matt Harpring,6985547,2002-2003
Ervin Johnson,6983240,2002-2003
Kwame Brown,6941468,2002-2003
Baron Davis,6885867,2002-2003
Lindsey Hunter,6760109,2002-2003
Yao Ming,6737979,2002-2003
Zeljko Rebraca,6723589,2002-2003
Tracy Murray,6531486,2002-2003
Anthony Carter,6385227,2002-2003
Stromile Swift,6355101,2002-2003
Chucky Atkins,6286992,2002-2003
David Wesley,6286992,2002-2003
Marc Jackson,6243333,2002-2003
Lamar Odom,6212919,2002-2003
Tyson Chandler,6210501,2002-2003
Bruce Bowen,6199673,2002-2003
Jay Williams,6028387,2002-2003
Jud Buechler,6025034,2002-2003
Antonio Daniels,5894055,2002-2003
Anthony Peeler,5851814,2002-2003
Lawrence Funderburke,5763076,2002-2003
Darius Miles,5707122,2002-2003
Andrew DeClercq,5697587,2002-2003
Jonathan Bender,5635145,2002-2003
Pau Gasol,5577400,2002-2003
Jon Barry,5544778,2002-2003
Moochie Norris,5501118,2002-2003
Evan Eschmeyer,5420435,2002-2003
Mike Dunleavy,5413939,2002-2003
LaPhonso Ellis,5413799,2002-2003
Eduardo Najera,5322323,2002-2003
Chris Whitney,5239160,2002-2003
Eric Piatkowski,5239160,2002-2003
Derek Fisher,5239160,2002-2003
Michael Redd,5239160,2002-2003
Jeff McInnis,5239160,2002-2003
Marcus Fizer,5145274,2002-2003
Matt Maloney,5144359,2002-2003
Wally Szczerbiak,5122479,2002-2003
Eddy Curry,5028336,2002-2003
Rodney Rogers,4882897,2002-2003
Drew Gooden,4881011,2002-2003
Chris Crawford,4802563,2002-2003
Eric Montross,4750172,2002-2003
Tony Delk,4715244,2002-2003
Aaron Williams,4715244,2002-2003
Othella Harrington,4715244,2002-2003
Randy Brown,4715244,2002-2003
Bobby Jackson,4715244,2002-2003
Hubert Davis,4693414,2002-2003
Richard Hamilton,4683430,2002-2003
Mike Miller,4659499,2002-2003
Horace Grant,4648075,2002-2003
Lucious Harris,4610461,2002-2003
Sean Rooks,4610461,2002-2003
Steve Kerr,4584265,2002-2003
Jason Richardson,4553459,2002-2003
Jamie Feick,4540605,2002-2003
Michael Curry,4540605,2002-2003
George Lynch,4540605,2002-2003
George McCloud,4540431,2002-2003
Tony Massenburg,4437739,2002-2003
Nikoloz Tskitishvili,4419965,2002-2003
Andre Miller,4297349,2002-2003
Mikki Moore,4294612,2002-2003
Radoslav Nesterovic,4255618,2002-2003
DerMarr Johnson,4231984,2002-2003
Bimbo Coles,4191328,2002-2003
Stacey Augmon,4191328,2002-2003
Greg Buckner,4191328,2002-2003
John Amaechi,4178230,2002-2003
Shane Battier,4135793,2002-2003
Pat Garrity,4104009,2002-2003
Dajuan Wagner,4014664,2002-2003
Shawn Marion,3956221,2002-2003
Chris Mihm,3863357,2002-2003
Eddie Griffin,3775548,2002-2003
Jason Terry,3761602,2002-2003
Cory Alexander,3753437,2002-2003
Corey Maggette,3614608,2002-2003
Lorenzo Williams,3611528,2002-2003
Jamal Crawford,3539367,2002-2003
Shammond Williams,3492773,2002-2003
Bryant Stith,3492773,2002-2003
Troy Hudson,3492773,2002-2003
DeSagana Diop,3458893,2002-2003
Nenê,3397630,2002-2003
Chris Wilcox,3357463,2002-2003
Metta World Peace,3326622,2002-2003
Wang Zhizhi,3318135,2002-2003
Tyronn Lue,3265743,2002-2003
Joel Przybilla,3253309,2002-2003
Patrick Ewing,3230815,2002-2003
Rodney White,3179332,2002-2003
Keyon Dooling,3090685,2002-2003
Amare Stoudemire,3086075,2002-2003
Chris Childs,3056177,2002-2003
Marko Jaric,3056177,2002-2003
Joe Johnson,3020480,2002-2003
James Posey,3010082,2002-2003
Jerome Moiso,2936025,2002-2003
Caron Butler,2931834,2002-2003
Muggsy Bogues,2897465,2002-2003
Kedrick Brown,2869383,2002-2003
Etan Thomas,2789329,2002-2003
Jared Jeffries,2785347,2002-2003
Dion Glover,2766821,2002-2003
Jeff Foster,2744158,2002-2003
Vladimir Radmanovic,2725830,2002-2003
Kenny Thomas,2720318,2002-2003
Samaki Walker,2689435,2002-2003
Courtney Alexander,2649757,2002-2003
Greg Anthony,2619580,2002-2003
Cezary Trybanski,2619580,2002-2003
Melvin Ely,2602326,2002-2003
Richard Jefferson,2589612,2002-2003
Mateen Cleaves,2517311,2002-2003
Marcus Haislip,2513749,2002-2003
Matt Bullard,2497333,2002-2003
Jumaine Jones,2478168,2002-2003
Troy Murphy,2460100,2002-2003
Corie Blount,2444941,2002-2003
Fred Hoiberg,2444941,2002-2003
Stanislav Medvedenko,2444941,2002-2003
Gordan Giricek,2444941,2002-2003
Travis Best,2444941,2002-2003
Michael Doleac,2444941,2002-2003
Bryon Russell,2444941,2002-2003
Jason Collier,2391572,2002-2003
Fred Jones,2388009,2002-2003
Vladimir Stepania,2357622,2002-2003
Steven Hunter,2337084,2002-2003
Manu Ginobili,2313962,2002-2003
Hidayet Turkoglu,2271909,2002-2003
Bryce Drew,2270302,2002-2003
Kirk Haston,2220356,2002-2003
Earl Boykins,2171814,2002-2003
Desmond Mason,2158324,2002-2003
Jiri Welsch,2155181,2002-2003
Bostjan Nachbar,2137577,2002-2003
Earl Watson,2121860,2002-2003
Michael Bradley,2109286,2002-2003
Quentin Richardson,2050397,2002-2003
Juan Dixon,2047463,2002-2003
Jarron Collins,2008344,2002-2003
Jason Collins,2003874,2002-2003
Jamaal Magloire,1958188,2002-2003
Curtis Borchardt,1944985,2002-2003
Ryan Bowen,1940429,2002-2003
Don Reid,1921025,2002-2003
Zach Randolph,1913551,2002-2003
Speedy Claxton,1879810,2002-2003
Ryan Humphrey,1857596,2002-2003
Brendan Haywood,1837059,2002-2003
Morris Peterson,1804576,2002-2003
Popeye Jones,1798778,2002-2003
Walt Williams,1798778,2002-2003
Mark Bryant,1798778,2002-2003
Brian Shaw,1798778,2002-2003
Kendall Gill,1798778,2002-2003
Rod Strickland,1798778,2002-2003
Scott Williams,1798778,2002-2003
Chris Dudley,1798778,2002-2003
Kevin Willis,1798778,2002-2003
Charles Oakley,1798778,2002-2003
Michael Jordan,1798778,2002-2003
Kareem Rush,1783200,2002-2003
Joseph Forte,1763711,2002-2003
Tim Hardaway,1746386,2002-2003
Mehmet Okur,1746386,2002-2003
Kevin Ollie,1746386,2002-2003
Calbert Cheaney,1746386,2002-2003
Donnell Harvey,1732485,2002-2003
Qyntel Woods,1711948,2002-2003
Jeryl Sasser,1693087,2002-2003
DeShawn Stevenson,1663119,2002-2003
Casey Jacobsen,1643419,2002-2003
Brandon Armstrong,1625397,2002-2003
Tayshaun Prince,1577616,2002-2003
Efthimios Rentzias,1577616,2002-2003
Danny Manning,1571748,2002-2003
Andrei Kirilenko,1560222,2002-2003
Monty Williams,1549804,2002-2003
Iakovos Tsakalidis,1532768,2002-2003
Gerald Wallace,1497980,2002-2003
Bobby Simmons,1484239,2002-2003
Mamadou N'diaye,1481844,2002-2003
Amal McCaskill,1472574,2002-2003
Frank Williams,1453971,2002-2003
Dalibor Bagaric,1451154,2002-2003
Emanual Davis,1440655,2002-2003
Cherokee Parks,1440655,2002-2003
Gary Trent,1440655,2002-2003
Voshon Lenard,1440655,2002-2003
Mark Madsen,1419812,2002-2003
Jamaal Tinsley,1406400,2002-2003
Primoz Brezec,1406400,2002-2003
Tony Parker,1397808,2002-2003
J.R. Reid,1397109,2002-2003
Jim Jackson,1381987,2002-2003
Chris Jefferies,1365325,2002-2003
Dan Dickau,1356733,2002-2003
Walter McCarty,1331506,2002-2003
Mark Blount,1331506,2002-2003
Erick Strickland,1331506,2002-2003
Milt Palacio,1309790,2002-2003
Robert Traylor,1309790,2002-2003
Darvin Ham,1222357,2002-2003
Anthony Johnson,1222357,2002-2003
Rick Brunson,1222357,2002-2003
Jacque Vaughn,1222357,2002-2003
Stephen Jackson,1222357,2002-2003
Samuel Dalembert,1206927,2002-2003
Erick Barkley,1191909,2002-2003
John Salmons,1171476,2002-2003
Loren Woods,1156867,2002-2003
Bruno Sundov,1113208,2002-2003
Adrian Griffin,1113208,2002-2003
Eddie House,1113208,2002-2003
Felipe Lopez,1113208,2002-2003
Mark Pope,1113208,2002-2003
Brian Skinner,1113208,2002-2003
Charles Smith,1113208,2002-2003
Damon Jones,1113208,2002-2003
Jelani McCoy,1113208,2002-2003
Raja Bell,1069548,2002-2003
Sean Marks,1069548,2002-2003
Ansu Sesay,1069548,2002-2003
Scott Padgett,1069548,2002-2003
Ira Newble,1025888,2002-2003
Ruben Wolkowyski,1025888,2002-2003
Pepe Sanchez,1025888,2002-2003
Juaquin Hawkins,1025888,2002-2003
Lavor Postell,1025888,2002-2003
Lee Nailon,1025888,2002-2003
Olumide Oyedeji,1025888,2002-2003
Dan Langhi,1025888,2002-2003
Jake Voskuhl,1025888,2002-2003
Brian Cardinal,1025888,2002-2003
Raul Lopez,1009691,2002-2003
Carlos Arroyo,953527,2002-2003
Predrag Drobnjak,919320,2002-2003
Mengke Bateer,894941,2002-2003
Brian Scalabrine,894909,2002-2003
Trenton Hassell,894909,2002-2003
Chris Andersen,894909,2002-2003
Gilbert Arenas,894909,2002-2003
Terence Morris,894909,2002-2003
Jamison Brewer,894909,2002-2003
Tremaine Fowlkes,894909,2002-2003
Malik Allen,894909,2002-2003
Mike James,894909,2002-2003
Kenny Satterfield,894909,2002-2003
Alton Ford,894909,2002-2003
Ruben Boumtje-Boumtje,894909,2002-2003
Greg Foster,701961,2002-2003
JR Bremer,610288,2002-2003
Tamar Slay,610288,2002-2003
Lonny Baxter,610288,2002-2003
Roger Mason,610288,2002-2003
Carlos Boozer,610288,2002-2003
Smush Parker,610288,2002-2003
Junior Harrington,610288,2002-2003
Predrag Savovic,610288,2002-2003
Vincent Yarbrough,610288,2002-2003
Tito Maddox,610288,2002-2003
Jannero Pargo,610288,2002-2003
Chris Owens,610288,2002-2003
Mike Batiste,610288,2002-2003
Robert Archibald,610288,2002-2003
Ken Johnson,610288,2002-2003
Rasual Butler,610288,2002-2003
Sean Lampley,610288,2002-2003
Dan Gadzuric,610288,2002-2003
Jamal Sampson,610288,2002-2003
Ronald Murray,610288,2002-2003
Igor Rakocevic,610288,2002-2003
Reggie Evans,610288,2002-2003
Pat Burke,610288,2002-2003
Sam Clancy,610288,2002-2003
Nate Huffman,610288,2002-2003
Reggie Slater,562207,2002-2003
Art Long,400346,2002-2003
Jermaine Jackson,300259,2002-2003
Oscar Torres,294666,2002-2003
Adam Harrington,245604,2002-2003
Anthony Goldwire,244363,2002-2003
John Crotty,241299,2002-2003
Pete Mickeal,238161,2002-2003
Soumaila Samake,218270,2002-2003
Ratko Varda,218270,2002-2003
Dean Oliver,207357,2002-2003
Antonio Harvey,105413,2002-2003
Mark Strickland,105413,2002-2003
Mike Wilks,96753,2002-2003
Rafer Alston,65217,2002-2003
Guy Rucker,61029,2002-2003
Devin Brown,61029,2002-2003
Paul Shirley,52098,2002-2003
Kevin Garnett,47887316,2003-2004
Shaquille O'Neal,42328965,2003-2004
Dikembe Mutombo,30296065,2003-2004
Rasheed Wallace,29074442,2003-2004
Allan Houston,27257289,2003-2004
Chris Webber,27257289,2003-2004
Shawn Kemp,25554613,2003-2004
Shareef Abdur-Rahim,23088527,2003-2004
Vin Baker,23088527,2003-2004
Zydrunas Ilgauskas,23088527,2003-2004
Antoine Walker,23088527,2003-2004
Kobe Bryant,23088527,2003-2004
Latrell Sprewell,23088527,2003-2004
Antonio McDyess,23088527,2003-2004
Ray Allen,23088527,2003-2004
Allen Iverson,23088527,2003-2004
Anfernee Hardaway,23088527,2003-2004
Stephon Marbury,23088527,2003-2004
Michael Finley,22714407,2003-2004
Keith Van Horn,22711842,2003-2004
Grant Hill,22711842,2003-2004
Tracy McGrady,22711842,2003-2004
Jalen Rose,22711842,2003-2004
Jason Kidd,22493356,2003-2004
Jermaine O'Neal,22493356,2003-2004
Antonio Davis,22105127,2003-2004
Tim Duncan,21679485,2003-2004
Damon Stoudamire,21164483,2003-2004
Eddie Jones,21093935,2003-2004
Brian Grant,20746577,2003-2004
Vlade Divac,20611231,2003-2004
Nick Van Exel,20448952,2003-2004
Tim Thomas,20223839,2003-2004
Tom Gugliotta,19958749,2003-2004
Paul Pierce,19370793,2003-2004
Antawn Jamison,19370793,2003-2004
Dirk Nowitzki,19370793,2003-2004
Vince Carter,19370793,2003-2004
